arm,days,IR,IR_base,ann_excess_vs_base,t,p_raw,h1,h2,p_wy
baseline,2584,0.641,0.641,0.0,,,,,
B2:pos40|pos40,2584,0.621,0.641,-0.11,-0.08,0.939,0.47,-0.69,1.0
B2:pos40|cat55,2584,0.669,0.641,0.91,0.61,0.519,1.12,0.61,1.0
B2:pos40|rev55,2584,0.631,0.641,-0.23,-0.1,0.948,-1.95,1.52,1.0
B2:cat55|eq,2584,0.571,0.641,-2.29,-0.91,0.379,0.99,-5.31,1.0
B2:cat55|cat40,2584,0.592,0.641,-1.62,-0.73,0.455,2.79,-5.86,1.0
B2:cat55|rev40,2584,0.587,0.641,-1.9,-0.72,0.445,1.25,-4.84,1.0
B2:cat55|pos40,2584,0.624,0.641,-0.72,-0.26,0.761,3.09,-4.46,1.0
B2:cat55|cat55,2584,0.65,0.641,0.06,0.02,0.994,6.05,-5.94,1.0
B2:cat55|rev55,2584,0.569,0.641,-2.48,-0.9,0.355,0.3,-4.99,1.0
B2:rev55|eq,2584,0.692,0.641,1.12,0.91,0.372,1.39,0.74,1.0
B2:rev55|cat40,2584,0.663,0.641,0.55,0.3,0.764,0.74,0.29,1.0
B2:rev55|rev40,2584,0.694,0.641,1.05,0.74,0.463,1.23,0.76,1.0
B2:rev55|pos40,2584,0.682,0.641,1.08,0.64,0.548,1.42,0.63,1.0
B2:rev55|cat55,2584,0.716,0.641,1.73,0.8,0.45,1.94,1.33,1.0
B2:rev55|rev55,2584,0.54,0.641,-3.16,-1.36,0.153,-5.06,-0.92,1.0
B3:eq|eq,2584,0.641,0.641,0.0,0.0,2.0,0.0,0.0,1.0
B3:eq|cat40,2584,0.6,0.641,-0.98,-0.75,0.469,-0.44,-1.41,1.0
B3:eq|rev40,2584,0.661,0.641,0.45,0.72,0.472,0.49,0.37,1.0
B3:eq|pos40,2584,0.641,0.641,0.25,0.24,0.824,0.3,0.18,1.0
B3:eq|cat55,2584,0.567,0.641,-2.15,-1.16,0.245,-0.14,-3.92,1.0
B3:eq|rev55,2584,0.553,0.641,-2.65,-1.33,0.155,-2.4,-2.62,1.0
B3:cat40|eq,2584,0.679,0.641,0.95,0.65,0.543,2.75,-0.95,1.0
B3:cat40|cat40,2584,0.631,0.641,-0.42,-0.3,0.804,1.75,-2.55,1.0
B3:cat40|rev40,2584,0.616,0.641,-1.08,-0.55,0.574,-0.98,-1.06,1.0
B3:cat40|pos40,2584,0.662,0.641,0.5,0.35,0.687,0.74,0.21,1.0
B3:cat40|cat55,2584,0.629,0.641,-0.47,-0.25,0.804,1.54,-2.43,1.0
B3:cat40|rev55,2584,0.573,0.641,-2.25,-0.95,0.308,0.3,-4.56,1.0
B3:rev40|eq,2584,0.657,0.641,0.48,0.84,0.41,1.52,-0.61,1.0
B3:rev40|cat40,2584,0.6,0.641,-1.09,-0.83,0.387,-1.18,-0.88,1.0
B3:rev40|rev40,2584,0.663,0.641,0.4,0.59,0.564,0.43,0.33,1.0
B3:rev40|pos40,2584,0.627,0.641,-0.26,-0.22,0.886,-0.44,-0.06,1.0
B3:rev40|cat55,2584,0.551,0.641,-2.65,-1.48,0.14,-1.6,-3.42,1.0
B3:rev40|rev55,2584,0.582,0.641,-1.93,-0.96,0.348,-1.47,-2.18,1.0
B3:pos40|eq,2584,0.663,0.641,1.04,0.67,0.493,1.38,0.59,1.0
B3:pos40|cat40,2584,0.653,0.641,0.52,0.32,0.772,0.24,0.73,1.0
B3:pos40|rev40,2584,0.63,0.641,-0.06,-0.04,0.944,-0.28,0.17,1.0
B3:pos40|pos40,2584,0.618,0.641,-0.25,-0.18,0.84,0.01,-0.48,1.0
B3:pos40|cat55,2584,0.596,0.641,-1.08,-0.51,0.569,-0.19,-1.86,1.0
B3:pos40|rev55,2584,0.633,0.641,0.0,0.0,0.989,0.51,-0.5,1.0
B3:cat55|eq,2584,0.604,0.641,-1.36,-0.47,0.675,2.04,-4.61,1.0
B3:cat55|cat40,2584,0.573,0.641,-2.35,-0.88,0.362,-0.77,-3.68,1.0
B3:cat55|rev40,2584,0.611,0.641,-1.37,-0.49,0.662,2.21,-4.81,1.0
B3:cat55|pos40,2584,0.597,0.641,-1.61,-0.54,0.57,1.9,-4.95,1.0
B3:cat55|cat55,2584,0.563,0.641,-2.71,-1.04,0.282,0.74,-5.87,1.0
B3:cat55|rev55,2584,0.56,0.641,-2.65,-0.94,0.349,1.13,-6.14,1.0
B3:rev55|eq,2584,0.655,0.641,0.18,0.17,0.897,2.59,-2.25,1.0
B3:rev55|cat40,2584,0.637,0.641,-0.21,-0.12,0.928,0.51,-0.91,1.0
B3:rev55|rev40,2584,0.652,0.641,-0.1,-0.09,0.927,1.12,-1.3,1.0
B3:rev55|pos40,2584,0.629,0.641,-0.56,-0.38,0.746,0.04,-1.09,1.0
B3:rev55|cat55,2584,0.588,0.641,-1.77,-0.86,0.386,-0.58,-2.78,1.0
B3:rev55|rev55,2584,0.605,0.641,-1.46,-0.7,0.482,-1.4,-1.36,1.0
