exit_ts,side,reason,delta_pct,usd
1644897600,L,SIGNAL,-0.2710995147883603,-10.293309702120558
1645992000,S,SIGNAL,0.31579219313473716,11.990234833084553
1647331200,S,SIGNAL,0.6077793640905318,23.076622730312383
1648828800,L,SIGNAL,0.3573506973459001,13.568159289852145
1649131200,L,SIGNAL,-0.07843771532566637,-2.9781820037713955
1650585600,S,SIGNAL,0.039179407493382244,1.4875931282643573
1651766400,S,SIGNAL,-1.356208920635619,-51.49355745538366
1653062400,S,SIGNAL,0.49131651534741916,18.65467394209732
1653336000,S,SIGNAL,0.12466721446178028,4.733458299095721
1654128000,S,SIGNAL,-0.2529370128220673,-9.60370220558787
1656345600,S,SIGNAL,0.431603789238544,16.38745637265097
1657022400,S,SIGNAL,0.06912580351943447,2.624620352378528
1657526400,S,SIGNAL,0.14352997642334725,5.449653792323966
1658952000,L,SIGNAL,-0.784394981226031,-29.78249694342587
1659700800,L,SIGNAL,1.8265554031637956,69.35202546387538
1660147200,L,SIGNAL,1.6440184182531519,62.421324318049365
1664323200,S,SIGNAL,-1.7297732186855734,-65.67732689696788
1664712000,S,SIGNAL,-0.26323782525058215,-9.994811177483042
1667548800,L,SIGNAL,0.26649558308246557,10.118504170162366
1670400000,S,SIGNAL,0.17439832577607256,6.621686431810256
1670889600,L,SIGNAL,0.3606053440529676,13.691734157011116
1672776000,S,SIGNAL,0.20935518602703673,7.948954719464052
1675180800,L,SIGNAL,-0.17991925574863962,-6.831309241706162
1675814400,L,SIGNAL,-0.07357714780350574,-2.793632330664359
1676462400,L,SIGNAL,-1.6202968274860439,-61.520645168610734
1677124800,L,SIGNAL,0.32032369552389783,12.162290314422997
1677657600,L,SIGNAL,-0.07566522342259027,-2.8729139518264746
1680076800,L,SIGNAL,-0.9102392628919601,-34.56064701292912
1680523200,L,SIGNAL,0.7165490422007778,27.206471446060785
1681084800,L,SIGNAL,0.20060899158158696,7.616872649113382
1681819200,L,SIGNAL,0.6351136785919395,24.114472484037705
1684440000,S,SIGNAL,0.33607305936073056,12.760273972602741
1684900800,S,SIGNAL,-0.3617363344051447,-13.734676446945338
1685548800,S,SIGNAL,0.39073806078147616,14.835835745296674
1688169600,L,SIGNAL,0.25277722344176146,9.59763520255438
1688630400,L,SIGNAL,-0.08879826350062488,-3.3715590672893514
1689019200,L,SIGNAL,1.3777909309131564,52.312999408108915
1689249600,L,SIGNAL,-1.23522029196116,-46.89977046040029
1690142400,L,SIGNAL,0.013279330721731626,0.5041995883407477
1691006400,S,SIGNAL,0.12796336206896552,4.858608903556036
1691971200,S,SIGNAL,0.279038493864515,10.594742813918305
1692072000,S,SIGNAL,0.03720615592761711,1.4126712328767124
1693512000,S,SIGNAL,-0.7840706028226542,-29.770180700922655
1694174400,S,SIGNAL,0.030481996570775386,1.157363307296628
1695816000,L,SIGNAL,1.8145540789820427,68.89635018634944
1700078400,L,SIGNAL,-0.9518952915179331,-36.14227434982153
1700424000,L,SIGNAL,-1.2338114468736945,-46.84627837348559
1700683200,L,SIGNAL,-0.3076234688740981,-11.680078583813412
1701187200,L,SIGNAL,-1.6441684665226781,-62.42702146328294
1702555200,L,SIGNAL,1.9798575288626874,75.17271554900518
1702944000,L,SIGNAL,-0.9837631327602674,-37.352256446991404
1703721600,L,SIGNAL,0.05465259956277921,2.0750908896492732
1704124800,L,SIGNAL,-1.7076100525237299,-64.83581918176037
1708560000,L,SIGNAL,0.5513695942233734,20.93481428066871
1708833600,L,SIGNAL,-0.1944531741043369,-7.3831439542740425
1711296000,L,SIGNAL,-0.27063390192227393,-10.27563096361134
1713988800,S,SIGNAL,0.47621945653166176,18.081457490186533
1715212800,S,SIGNAL,0.8090280537232774,30.717783914805693
1715356800,S,SIGNAL,-0.42488426659902345,-16.13232449743167
1715673600,S,SIGNAL,-0.37142857142857144,-14.102678571428573
1716566400,L,SIGNAL,-1.2843817981345174,-48.76637139791996
1717099200,L,SIGNAL,0.45580861919395393,17.30648351002044
1717387200,L,SIGNAL,-0.7058403073532478,-26.79987416981863
1718208000,L,SIGNAL,3.296638081956025,125.16922717426783
1719979200,S,SIGNAL,-0.08934839491990554,-3.3924468696151635
1720627200,S,SIGNAL,-0.5256732008410772,-19.95915434443465
1721966400,L,SIGNAL,0.2419040187280531,9.184793211080766
1723665600,S,SIGNAL,-0.3209128186842574,-12.184658584417901
1724169600,S,SIGNAL,1.0599891198628444,40.246461894792375
1728259200,L,SIGNAL,-1.1330932293979312,-43.0221335537027
1729800000,L,SIGNAL,0.1326319914392078,5.035870924957423
1730044800,L,SIGNAL,-0.03298499182871793,-1.252398908496634
1730865600,L,SIGNAL,1.4320193081255028,54.37198310539019
1732737600,L,SIGNAL,0.8658950482986686,32.876952615090076
1733169600,L,SIGNAL,-0.03363358313275806,-1.2770251095719078
1733932800,L,SIGNAL,-0.7743385643288722,-29.40066736436187
1738195200,L,SIGNAL,-1.4784145417823782,-56.13355213329967
1739289600,S,SIGNAL,-2.0541255468511546,-77.99257935700479
1739433600,S,SIGNAL,-0.15835393637236672,-6.0125010216382995
1739750400,S,SIGNAL,0.1714460659250944,6.509592815593428
1740168000,S,SIGNAL,0.9090078103576107,34.51389029951554
1741032000,S,SIGNAL,0.6660750751071814,25.2900380079758
1741392000,S,SIGNAL,-0.954034888510392,-36.22351217312895
1742572800,S,SIGNAL,0.48139888853491913,18.278114049060214
1743148800,S,SIGNAL,0.051794387790336315,1.9665681614143322
1744300800,S,SIGNAL,1.0751256129305649,40.82117561595739
1745150400,S,SIGNAL,0.2863165076696273,10.871079900581163
1746576000,L,SIGNAL,0.3329233640103482,12.640683977267912
1748966400,L,SIGNAL,0.3756021102530775,14.261142623671539
1751371200,S,SIGNAL,-0.6182204354092392,-23.473057156944552
1751443200,L,SIGNAL,-0.36609299516908217,-13.900093410326091
1753084800,L,SIGNAL,1.0857430180928762,41.2243052182139
1753185600,L,SIGNAL,0.22431122754747349,8.516816920943135
1753545600,L,SIGNAL,-0.09445407279029462,-3.5863030762564994
1753934400,L,SIGNAL,-0.18654650459551778,-7.082937596361067
1755921600,S,SIGNAL,0.1954430900581186,7.420729825644192
1757001600,S,SIGNAL,0.26613980007939086,10.104995534264372
1757433600,S,SIGNAL,0.37440917700791304,14.2158484395192
1761019200,S,SIGNAL,-0.9021244446043424,-34.25253750607113
1761091200,S,SIGNAL,-0.05554575912537471,-2.1090030417915715
1761753600,S,SIGNAL,-0.7585268425442254,-28.800316052851063
1762876800,S,SIGNAL,-0.3216040591902368,-12.210904122379306
1764561600,S,SIGNAL,0.2368166505453454,8.991632200393584
1764950400,S,SIGNAL,-0.9035282724011181,-34.30583909272996
1765209600,S,SIGNAL,0.2110996871787019,8.015191247566339
1765425600,S,SIGNAL,0.4174577148774595,15.850347611753541
1765555200,S,SIGNAL,0.3047627281667765,11.571459835082297
1766476800,S,SIGNAL,0.3414392283248067,12.964020700457507
1766764800,S,SIGNAL,0.4293006118378798,16.3000076057195
1767211200,S,SIGNAL,0.12259174698862933,4.6546553934745205
1768190400,L,SIGNAL,0.43336104183984486,16.45417705735661
1771185600,S,SIGNAL,0.7783160851990941,29.55168885990311
1772193600,S,SIGNAL,-0.026698705112802028,-1.013716459751702
1772395200,S,SIGNAL,-0.2932768503843704,-11.135355413031565
1774339200,L,SIGNAL,0.20912355596579027,7.940160015576101
1774425600,L,SIGNAL,-1.1019760565411798,-41.840653396797926
1775102400,S,SIGNAL,0.5079162373565136,19.284944637130128
1776672000,L,SIGNAL,-0.48628513376227567,-18.463638672536405
1777464000,L,SIGNAL,2.2183167350126927,84.22671353251319
1777636800,L,SIGNAL,-1.3204538565950212,-50.13598236759222
1778644800,L,SIGNAL,0.3025436073656295,11.487202592163747
1778774400,L,SIGNAL,-0.16626897497080773,-6.313025143422856
1781784000,S,SIGNAL,-2.4525065249619193,-93.11860711964788
1784044800,L,SIGNAL,0.27370318852422904,10.392167939279323
